Dimension,Modalites,Indicateurs,Chapitre_annuaire,Année,Valeurs
Région / Groupe d'âges / Sexe,GONTOUGO / 90 - 94 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,290
Région / Groupe d'âges / Sexe,GONTOUGO / 90 - 94 ans / Total,Effectif de la population,Chap2.1_Population,2018,494
Région / Groupe d'âges / Sexe,GONTOUGO / 95 ans et plus / Masculin,Effectif de la population,Chap2.1_Population,2018,159
Région / Groupe d'âges / Sexe,GONTOUGO / 95 ans et plus / Féminin,Effectif de la population,Chap2.1_Population,2018,317
Région / Groupe d'âges / Sexe,GONTOUGO / 95 ans et plus / Total,Effectif de la population,Chap2.1_Population,2018,476
Région / Sexe / Âges,GONTOUGO / Masculin / 0 an,Effectif de la population,Chap2.1_Population,2018,13011
Région / Sexe / Âges,GONTOUGO / Masculin / 1 an,Effectif de la population,Chap2.1_Population,2018,11344
Région / Sexe / Âges,GONTOUGO / Masculin / 2 ans,Effectif de la population,Chap2.1_Population,2018,12764
Région / Sexe / Âges,GONTOUGO / Masculin / 3 ans,Effectif de la population,Chap2.1_Population,2018,11564
Région / Sexe / Âges,GONTOUGO / Masculin / 4 ans,Effectif de la population,Chap2.1_Population,2018,11548
Région / Sexe / Âges,GONTOUGO / Masculin / 5 ans,Effectif de la population,Chap2.1_Population,2018,11729
Région / Sexe / Âges,GONTOUGO / Masculin / 6 ans,Effectif de la population,Chap2.1_Population,2018,11711
Région / Sexe / Âges,GONTOUGO / Masculin / 7 ans,Effectif de la population,Chap2.1_Population,2018,11094
Région / Sexe / Âges,GONTOUGO / Masculin / 8 ans,Effectif de la population,Chap2.1_Population,2018,10836
Région / Sexe / Âges,GONTOUGO / Masculin / 9 ans,Effectif de la population,Chap2.1_Population,2018,9484
Région / Sexe / Âges,GONTOUGO / Masculin / 10 ans,Effectif de la population,Chap2.1_Population,2018,11441
Région / Sexe / Âges,GONTOUGO / Masculin / 11 ans,Effectif de la population,Chap2.1_Population,2018,8528
Région / Sexe / Âges,GONTOUGO / Masculin / 12 ans,Effectif de la population,Chap2.1_Population,2018,10599
Région / Sexe / Âges,GONTOUGO / Masculin / 13 ans,Effectif de la population,Chap2.1_Population,2018,9312
Région / Sexe / Âges,GONTOUGO / Masculin / 14 ans,Effectif de la population,Chap2.1_Population,2018,9938
Région / Sexe / Âges,GONTOUGO / Masculin / 15 ans,Effectif de la population,Chap2.1_Population,2018,9585
Région / Sexe / Âges,GONTOUGO / Masculin / 16 ans,Effectif de la population,Chap2.1_Population,2018,7370
Région / Sexe / Âges,GONTOUGO / Masculin / 17 ans,Effectif de la population,Chap2.1_Population,2018,6483
Région / Sexe / Âges,GONTOUGO / Masculin / 18 ans,Effectif de la population,Chap2.1_Population,2018,6785
Région / Sexe / Âges,GONTOUGO / Masculin / 19 ans,Effectif de la population,Chap2.1_Population,2018,5096
Région / Sexe / Âges,GONTOUGO / Masculin / 20 ans,Effectif de la population,Chap2.1_Population,2018,6749
Région / Sexe / Âges,GONTOUGO / Masculin / 21 ans,Effectif de la population,Chap2.1_Population,2018,4650
Région / Sexe / Âges,GONTOUGO / Masculin / 22 ans,Effectif de la population,Chap2.1_Population,2018,4592
Région / Sexe / Âges,GONTOUGO / Masculin / 23 ans,Effectif de la population,Chap2.1_Population,2018,4962
Région / Sexe / Âges,GONTOUGO / Masculin / 24 ans,Effectif de la population,Chap2.1_Population,2018,5127
Région / Sexe / Âges,GONTOUGO / Masculin / 25 ans,Effectif de la population,Chap2.1_Population,2018,6196
Région / Sexe / Âges,GONTOUGO / Masculin / 26 ans,Effectif de la population,Chap2.1_Population,2018,4648
Région / Sexe / Âges,GONTOUGO / Masculin / 27 ans,Effectif de la population,Chap2.1_Population,2018,4975
Région / Sexe / Âges,GONTOUGO / Masculin / 28 ans,Effectif de la population,Chap2.1_Population,2018,4813
Région / Sexe / Âges,GONTOUGO / Masculin / 29 ans,Effectif de la population,Chap2.1_Population,2018,4176
Région / Sexe / Âges,GONTOUGO / Masculin / 30 ans,Effectif de la population,Chap2.1_Population,2018,6217
Région / Sexe / Âges,GONTOUGO / Masculin / 31 ans,Effectif de la population,Chap2.1_Population,2018,3889
Région / Sexe / Âges,GONTOUGO / Masculin / 32 ans,Effectif de la population,Chap2.1_Population,2018,4491
Région / Sexe / Âges,GONTOUGO / Masculin / 33 ans,Effectif de la population,Chap2.1_Population,2018,4359
Région / Sexe / Âges,GONTOUGO / Masculin / 34 ans,Effectif de la population,Chap2.1_Population,2018,5050
Région / Sexe / Âges,GONTOUGO / Masculin / 35 ans,Effectif de la population,Chap2.1_Population,2018,5340
Région / Sexe / Âges,GONTOUGO / Masculin / 36 ans,Effectif de la population,Chap2.1_Population,2018,3987
Région / Sexe / Âges,GONTOUGO / Masculin / 37 ans,Effectif de la population,Chap2.1_Population,2018,3741
Région / Sexe / Âges,GONTOUGO / Masculin / 38 ans,Effectif de la population,Chap2.1_Population,2018,3911
Région / Sexe / Âges,GONTOUGO / Masculin / 39 ans,Effectif de la population,Chap2.1_Population,2018,3293
Région / Sexe / Âges,GONTOUGO / Masculin / 40 ans,Effectif de la population,Chap2.1_Population,2018,4600
Région / Sexe / Âges,GONTOUGO / Masculin / 41 ans,Effectif de la population,Chap2.1_Population,2018,2687
Région / Sexe / Âges,GONTOUGO / Masculin / 42 ans,Effectif de la population,Chap2.1_Population,2018,2742
Région / Sexe / Âges,GONTOUGO / Masculin / 43 ans,Effectif de la population,Chap2.1_Population,2018,2657
Région / Sexe / Âges,GONTOUGO / Masculin / 44 ans,Effectif de la population,Chap2.1_Population,2018,2827
Région / Sexe / Âges,GONTOUGO / Masculin / 45 ans,Effectif de la population,Chap2.1_Population,2018,3386
Région / Sexe / Âges,GONTOUGO / Masculin / 46 ans,Effectif de la population,Chap2.1_Population,2018,2293
Région / Sexe / Âges,GONTOUGO / Masculin / 47 ans,Effectif de la population,Chap2.1_Population,2018,2090
Région / Sexe / Âges,GONTOUGO / Masculin / 48 ans,Effectif de la population,Chap2.1_Population,2018,2016
Région / Sexe / Âges,GONTOUGO / Masculin / 49 ans,Effectif de la population,Chap2.1_Population,2018,2048
Région / Sexe / Âges,GONTOUGO / Masculin / 50 ans,Effectif de la population,Chap2.1_Population,2018,2585
Région / Sexe / Âges,GONTOUGO / Masculin / 51 ans,Effectif de la population,Chap2.1_Population,2018,1584
Région / Sexe / Âges,GONTOUGO / Masculin / 52 ans,Effectif de la population,Chap2.1_Population,2018,1537
Région / Sexe / Âges,GONTOUGO / Masculin / 53 ans,Effectif de la population,Chap2.1_Population,2018,1592
Région / Sexe / Âges,GONTOUGO / Masculin / 54 ans,Effectif de la population,Chap2.1_Population,2018,1984
Région / Sexe / Âges,GONTOUGO / Masculin / 55 ans,Effectif de la population,Chap2.1_Population,2018,1490
Région / Sexe / Âges,GONTOUGO / Masculin / 56 ans,Effectif de la population,Chap2.1_Population,2018,1501
Région / Sexe / Âges,GONTOUGO / Masculin / 57 ans,Effectif de la population,Chap2.1_Population,2018,1247
Région / Sexe / Âges,GONTOUGO / Masculin / 58 ans,Effectif de la population,Chap2.1_Population,2018,1378
Région / Sexe / Âges,GONTOUGO / Masculin / 59 ans,Effectif de la population,Chap2.1_Population,2018,1223
Région / Sexe / Âges,GONTOUGO / Masculin / 60 ans,Effectif de la population,Chap2.1_Population,2018,1617
Région / Sexe / Âges,GONTOUGO / Masculin / 61 ans,Effectif de la population,Chap2.1_Population,2018,1039
Région / Sexe / Âges,GONTOUGO / Masculin / 62 ans,Effectif de la population,Chap2.1_Population,2018,970
Région / Sexe / Âges,GONTOUGO / Masculin / 63 ans,Effectif de la population,Chap2.1_Population,2018,870
Région / Sexe / Âges,GONTOUGO / Masculin / 64 ans,Effectif de la population,Chap2.1_Population,2018,1236
Région / Sexe / Âges,GONTOUGO / Masculin / 65 ans,Effectif de la population,Chap2.1_Population,2018,1067
